Feature,Importance
tqwt_medianValue_dec_24,0.0003120225
tqwt_medianValue_dec_2,0.00030927113
Ed_3_coef,0.00030883463
app_TKEO_std_3_coef,0.00029559893
tqwt_medianValue_dec_17,0.00029447433
app_entropy_log_1_coef,0.00028973538
tqwt_TKEO_mean_dec_15,0.00028968614
app_LT_TKEO_std_1_coef,0.00028932918
det_LT_TKEO_mean_8_coef,0.00026882658
tqwt_entropy_shannon_dec_32,0.0002658527
tqwt_TKEO_mean_dec_26,0.00026354828
tqwt_kurtosisValue_dec_1,0.0002601122
tqwt_TKEO_std_dec_8,0.00025736933
tqwt_TKEO_mean_dec_1,0.00025055473
tqwt_minValue_dec_35,0.00023098162
det_LT_TKEO_std_1_coef,0.0002306649
GNE_mean,0.00022919696
mean_3rd_delta_delta,0.00022707864
det_LT_entropy_shannon_5_coef,0.0002270275
mean_0th_delta,0.0002269197
det_LT_entropy_shannon_2_coef,0.00021709097
tqwt_entropy_shannon_dec_9,0.00021695998
Ed_2_coef,0.00021380323
tqwt_maxValue_dec_24,0.00020530164
det_entropy_log_6_coef,0.00020212929
tqwt_maxValue_dec_32,0.00019858462
det_entropy_log_2_coef,0.00019308308
std_12th_delta,0.0001882169
tqwt_minValue_dec_20,0.00018482469
det_entropy_log_3_coef,0.00017909773
tqwt_meanValue_dec_4,0.00017814696
tqwt_minValue_dec_34,0.00017808047
VFER_mean,0.00017716532
tqwt_stdValue_dec_1,0.00017406233
tqwt_stdValue_dec_6,0.00017370406
tqwt_stdValue_dec_32,0.00015751019
tqwt_TKEO_mean_dec_35,0.00015118165
tqwt_TKEO_mean_dec_19,0.00011588316
mean_3rd_delta,0.00011477088
tqwt_minValue_dec_4,0.00011449954
det_TKEO_mean_9_coef,0.000114115624
det_LT_TKEO_std_3_coef,0.000113931164
tqwt_entropy_log_dec_25,0.000113158516
tqwt_entropy_log_dec_3,0.00011293618
tqwt_medianValue_dec_27,0.000111161884
mean_8th_delta_delta,8.078052e-05
meanHarmToNoiseHarmonicity,7.8613084e-05
tqwt_skewnessValue_dec_11,7.241681e-05
tqwt_minValue_dec_31,6.855252e-05
det_LT_TKEO_std_10_coef,6.628109e-05
tqwt_stdValue_dec_23,6.4850516e-05
tqwt_meanValue_dec_28,5.6427965e-05
tqwt_TKEO_std_dec_7,5.4397562e-05
tqwt_minValue_dec_6,5.254712e-05
app_LT_TKEO_mean_2_coef,4.1788593e-05
PPE,3.7338188e-05
tqwt_entropy_shannon_dec_34,3.1235144e-05
tqwt_minValue_dec_26,2.6278096e-05
Ed_10_coef,2.3196902e-05
det_LT_entropy_log_5_coef,1.4733203e-06
locShimmer,0.0
tqwt_skewnessValue_dec_35,0.0
det_entropy_log_5_coef,0.0
det_entropy_log_9_coef,0.0
det_entropy_shannon_6_coef,0.0
det_entropy_shannon_8_coef,0.0
det_entropy_shannon_9_coef,0.0
det_entropy_shannon_10_coef,0.0
tqwt_skewnessValue_dec_19,0.0
det_entropy_log_10_coef,0.0
det_TKEO_mean_1_coef,0.0
det_TKEO_mean_2_coef,0.0
tqwt_minValue_dec_29,0.0
tqwt_minValue_dec_30,0.0
tqwt_minValue_dec_32,0.0
tqwt_minValue_dec_19,0.0
tqwt_kurtosisValue_dec_29,0.0
tqwt_kurtosisValue_dec_30,0.0
tqwt_maxValue_dec_36,0.0
tqwt_kurtosisValue_dec_28,0.0
tqwt_kurtosisValue_dec_7,0.0
ddpJitter,0.0
tqwt_maxValue_dec_25,0.0
mean_9th_delta_delta,0.0
mean_6th_delta,0.0
mean_9th_delta,0.0
mean_10th_delta,0.0
tqwt_maxValue_dec_19,0.0
Ed_5_coef,0.0
std_MFCC_9th_coef,0.0
std_MFCC_10th_coef,0.0
std_MFCC_11th_coef,0.0
std_MFCC_0th_coef,0.0
Ed_7_coef,0.0
tqwt_maxValue_dec_33,0.0
ddaShimmer,0.0
